Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_LD, se_LD, t_LD, est_NDVI, se_NDVI, t_NDVI, est_RF, se_RF, t_RF, est_GP, se_GP, t_GP, est_CC1, se_CC1, t_CC1, est_TDS1, se_TDS1, t_TDS1, est_Sl1, se_Sl1, t_Sl1, est_DD1, se_DD1, t_DD1, est_Lf1, se_Lf1, t_Lf1, est_STC1, se_STC1, t_STC1, est_LULC1, se_LULC1, t_LULC1, est_Geol1, se_Geol1, t_Geol1, y, yhat, residual, std_residual, localR2, influence, CooksD
2180,2250,839664.6972,1694753,-24.877924,1.120921,-22.194188,0.796652,0.031795,25.05587,-0.199424,0.038308,-5.205823,0.000877,0.000849,1.033556,-0.013788,0.005264,-2.619542,1.259954,0.034226,36.812624,9.452856,0.622074,15.195699,-0.021392,0.004491,-4.763147,-0.012609,0.0041,-3.075677,-0.007182,0.002366,-3.035698,0.000007,0.000079,0.084321,0.006587,0.001578,4.17408,0.000128,0.000031,4.135051,-0.144362,-0.108606,-0.035756,-1.097732,0.982423,0.05439,0.000363
2181,2251,858664.6972,1702753,-31.758621,0.847746,-37.462439,0.164916,0.048797,3.379648,0.130308,0.040377,3.227243,-0.008233,0.000836,-9.854064,-0.033901,0.0058,-5.845057,0.494944,0.01097,45.116655,15.951068,0.390471,40.850881,-0.008701,0.004242,-2.051097,0.009488,0.004034,2.351886,0.000813,0.002267,0.358851,0.000048,0.000081,0.593765,0.005715,0.001611,3.547424,0.000093,0.000027,3.512631,0.081734,0.065151,0.016583,0.505358,0.976518,0.040337,0.000056
2182,2252,844664.6972,1684753,-30.100389,0.925456,-32.524917,0.913407,0.063227,14.446382,-0.170732,0.04167,-4.097246,-0.001815,0.000977,-1.857568,-0.011745,0.00396,-2.966021,1.191121,0.019602,60.766782,12.58089,0.433406,29.027965,-0.010409,0.004134,-2.518106,0.011758,0.003805,3.089775,0.001497,0.002192,0.683056,0.000065,0.000082,0.794439,0.002972,0.001328,2.237308,0.000044,0.000031,1.437044,0.505715,0.514595,-0.00888,-0.272423,0.99404,0.052985,0.000022
2183,2253,837664.6972,1696753,-21.531037,1.152201,-18.686882,0.728627,0.027759,26.248271,-0.064478,0.038236,-1.686345,0.001379,0.000818,1.684766,-0.003797,0.005213,-0.728388,1.286762,0.032765,39.272512,7.562679,0.637207,11.868479,-0.012149,0.004816,-2.522533,-0.007595,0.004054,-1.873472,-0.0046,0.002374,-1.937799,0.000141,0.000083,1.694938,0.008371,0.001891,4.426892,0.00006,0.000032,1.882645,-0.277958,-0.262944,-0.015014,-0.46674,0.981832,0.077696,0.000096
2184,2254,861664.6972,1704753,-20.861246,1.080116,-19.313889,-0.078067,0.049722,-1.570051,0.083836,0.042141,1.989435,-0.012464,0.000896,-13.910568,-0.02927,0.007724,-3.789485,0.749463,0.008734,85.810011,10.121935,0.496404,20.390525,-0.004218,0.004287,-0.983793,-0.003497,0.003965,-0.881983,0.000418,0.002321,0.180051,0.000043,0.000081,0.525832,0.007022,0.001499,4.684709,0.000104,0.000026,4.018744,0.178492,0.193326,-0.014834,-0.452972,0.989656,0.044104,0.00005
2185,2255,850664.6972,1699753,-58.551892,0.967483,-60.519786,0.84012,0.035606,23.595134,-0.02687,0.039933,-0.67289,0.009177,0.000956,9.600417,0.001067,0.005463,0.195372,0.11637,0.018314,6.354299,28.951004,0.467616,61.911889,0.000192,0.004184,0.045829,0.015047,0.004408,3.413639,-0.007444,0.002223,-3.348993,0.000313,0.000076,4.096145,-0.000474,0.001816,-0.261204,0.000146,0.000029,5.029419,-0.15761,-0.169679,0.012069,0.373216,0.981826,0.068017,0.000053
2186,2256,832664.6972,1690753,-24.914281,0.941776,-26.454582,0.51025,0.041721,12.229953,-0.034518,0.038049,-0.907202,0.006049,0.00078,7.755565,-0.006175,0.005762,-1.071627,1.27302,0.030024,42.399942,8.886046,0.509029,17.456874,-0.010426,0.004316,-2.415664,-0.013231,0.003245,-4.077309,-0.004169,0.002182,-1.910906,-0.000004,0.000075,-0.054934,0.002378,0.001327,1.79158,0.000119,0.000028,4.299668,-0.582798,-0.601311,0.018513,0.571369,0.984718,0.064269,0.000118
2187,2257,828664.6972,1711753,-1.859355,1.585647,-1.172616,0.038942,0.023603,1.64986,0.301641,0.055408,5.444028,0.032512,0.00121,26.878454,-0.144083,0.011002,-13.096577,1.553194,0.044239,35.108968,-6.300238,0.975501,-6.458464,-0.007481,0.005948,-1.257769,0.018188,0.004731,3.84422,-0.008612,0.002655,-3.243174,0.000006,0.000119,0.050566,-0.009133,0.007654,-1.193294,-0.000019,0.000046,-0.412548,0.19111,0.250481,-0.059371,-1.890045,0.963893,0.120526,0.002566
2188,2258,869664.6972,1707753,-24.774488,1.596519,-15.517818,-0.446769,0.061453,-7.270086,-0.03045,0.046929,-0.648852,0.002242,0.001079,2.077016,-0.000166,0.010121,-0.01641,0.915204,0.012065,75.859041,10.210655,0.759901,13.436819,0.001728,0.004193,0.412081,-0.002476,0.003928,-0.630493,0.000864,0.002464,0.350761,0.000009,0.000092,0.099324,-0.000987,0.001438,-0.686764,-0.000018,0.000027,-0.645722,0.984981,0.9733,0.011681,0.360624,0.998791,0.064879,0.000047
2189,2259,816664.6972,1676753,-6.15177,1.46073,-4.211434,1.780771,0.366391,4.860299,-0.01861,0.045968,-0.404842,-0.000875,0.000934,-0.937297,-0.020221,0.008905,-2.270913,1.395025,0.097013,14.379718,-0.397241,0.784038,-0.50666,-0.000955,0.004955,-0.192813,-0.003212,0.004071,-0.788858,0.00095,0.002441,0.389304,-0.000049,0.000109,-0.451732,0.000091,0.00121,0.074962,-0.00003,0.000047,-0.640675,-0.219951,-0.217075,-0.002875,-0.087506,0.969397,0.037664,0.000002
